timestamp,sensor_id,reading
2024-01-01 00:00:00,102,59.96
2024-01-01 01:00:00,104,34.13
2024-01-01 02:00:00,104,46.58
2024-01-01 03:00:00,101,36.82
2024-01-01 04:00:00,104,39.53
2024-01-01 05:00:00,101,51.16
2024-01-01 06:00:00,102,48.07
2024-01-01 07:00:00,101,63.96
2024-01-01 08:00:00,104,69.81
2024-01-01 09:00:00,102,53.54
2024-01-01 10:00:00,104,47.43
2024-01-01 11:00:00,104,47.9
2024-01-01 12:00:00,104,49.24
2024-01-01 13:00:00,102,55.09
2024-01-01 14:00:00,104,42.03
2024-01-01 15:00:00,104,55.21
2024-01-01 16:00:00,101,46.94
2024-01-01 17:00:00,104,59.97
2024-01-01 18:00:00,102,63.02
2024-01-01 19:00:00,104,66.77
2024-01-01 20:00:00,103,47.84
2024-01-01 21:00:00,102,35.91
2024-01-01 22:00:00,102,32.57
2024-01-01 23:00:00,102,46.5
2024-01-02 00:00:00,102,35.26
2024-01-02 01:00:00,102,32.97
2024-01-02 02:00:00,104,45.91
2024-01-02 03:00:00,104,39.59
2024-01-02 04:00:00,103,56.34
2024-01-02 05:00:00,104,68.84
2024-01-02 06:00:00,103,47.2
2024-01-02 07:00:00,103,52.6
2024-01-02 08:00:00,102,33.71
2024-01-02 09:00:00,104,51.3
2024-01-02 10:00:00,104,42.48
2024-01-02 11:00:00,104,38.51
2024-01-02 12:00:00,103,30.89
2024-01-02 13:00:00,104,65.5
2024-01-02 14:00:00,101,33.38
2024-01-02 15:00:00,101,37.43
2024-01-02 16:00:00,102,49.62
2024-01-02 17:00:00,104,52.41
2024-01-02 18:00:00,102,52.46
2024-01-02 19:00:00,102,50.62
2024-01-02 20:00:00,101,40.62
2024-01-02 21:00:00,104,57.23
2024-01-02 22:00:00,103,51.49
2024-01-02 23:00:00,103,35.05
2024-01-03 00:00:00,101,65.59
2024-01-03 01:00:00,101,46.16
2024-01-03 02:00:00,102,59.06
2024-01-03 03:00:00,101,35.04
2024-01-03 04:00:00,104,37.69
2024-01-03 05:00:00,104,43.86
2024-01-03 06:00:00,104,42.69
2024-01-03 07:00:00,101,59.73
2024-01-03 08:00:00,101,33.38
2024-01-03 09:00:00,104,51.26
2024-01-03 10:00:00,101,39.48
2024-01-03 11:00:00,103,54.79
2024-01-03 12:00:00,103,51.71
2024-01-03 13:00:00,103,44.12
2024-01-03 14:00:00,104,71.86
2024-01-03 15:00:00,104,49.19
2024-01-03 16:00:00,104,60.61
2024-01-03 17:00:00,102,36.37
2024-01-03 18:00:00,103,48.41
2024-01-03 19:00:00,104,50.54
2024-01-03 20:00:00,104,51.05
2024-01-03 21:00:00,102,46.22
2024-01-03 22:00:00,101,41.38
2024-01-03 23:00:00,101,18.74
2024-01-04 00:00:00,104,44.0
2024-01-04 01:00:00,102,40.51
2024-01-04 02:00:00,101,47.13
2024-01-04 03:00:00,103,58.28
2024-01-04 04:00:00,103,71.88
2024-01-04 05:00:00,102,55.03
2024-01-04 06:00:00,103,59.89
2024-01-04 07:00:00,102,56.02
2024-01-04 08:00:00,101,57.01
2024-01-04 09:00:00,104,55.65
2024-01-04 10:00:00,104,47.13
2024-01-04 11:00:00,102,46.52
2024-01-04 12:00:00,103,53.09
2024-01-04 13:00:00,104,67.78
2024-01-04 14:00:00,102,57.63
2024-01-04 15:00:00,101,65.92
2024-01-04 16:00:00,101,36.87
2024-01-04 17:00:00,102,52.49
2024-01-04 18:00:00,102,53.84
2024-01-04 19:00:00,102,55.07
2024-01-04 20:00:00,103,36.13
2024-01-04 21:00:00,101,31.43
2024-01-04 22:00:00,101,28.63
2024-01-04 23:00:00,103,45.89
2024-01-05 00:00:00,103,73.34
2024-01-05 01:00:00,103,52.07
2024-01-05 02:00:00,101,37.79
2024-01-05 03:00:00,103,53.3
2024-01-05 04:00:00,101,46.9
2024-01-05 05:00:00,103,51.63
2024-01-05 06:00:00,104,45.41
2024-01-05 07:00:00,103,36.98
2024-01-05 08:00:00,103,44.62
2024-01-05 09:00:00,101,57.09
2024-01-05 10:00:00,102,53.0
2024-01-05 11:00:00,102,62.19
2024-01-05 12:00:00,103,39.27
2024-01-05 13:00:00,103,60.49
2024-01-05 14:00:00,102,50.63
2024-01-05 15:00:00,102,51.97
2024-01-05 16:00:00,104,62.53
2024-01-05 17:00:00,102,48.78
2024-01-05 18:00:00,103,52.65
2024-01-05 19:00:00,101,56.52
2024-01-05 20:00:00,102,56.62
2024-01-05 21:00:00,101,58.3
2024-01-05 22:00:00,101,63.09
2024-01-05 23:00:00,103,55.5
2024-01-06 00:00:00,104,45.82
2024-01-06 01:00:00,102,74.72
2024-01-06 02:00:00,102,49.95
2024-01-06 03:00:00,104,54.06
2024-01-06 04:00:00,102,42.83
2024-01-06 05:00:00,101,28.48
2024-01-06 06:00:00,104,42.54
2024-01-06 07:00:00,101,50.98
2024-01-06 08:00:00,102,55.64
2024-01-06 09:00:00,104,50.62
2024-01-06 10:00:00,103,58.29
2024-01-06 11:00:00,101,60.26
2024-01-06 12:00:00,102,60.23
2024-01-06 13:00:00,102,50.41
2024-01-06 14:00:00,102,51.2
2024-01-06 15:00:00,103,48.23
2024-01-06 16:00:00,104,41.64
2024-01-06 17:00:00,101,64.65
2024-01-06 18:00:00,101,37.97
2024-01-06 19:00:00,104,49.67
2024-01-06 20:00:00,104,52.66
2024-01-06 21:00:00,104,29.01
2024-01-06 22:00:00,102,57.83
2024-01-06 23:00:00,101,46.9
2024-01-07 00:00:00,101,52.65
2024-01-07 01:00:00,102,47.1
2024-01-07 02:00:00,101,35.06
2024-01-07 03:00:00,104,52.37
2024-01-07 04:00:00,102,51.47
2024-01-07 05:00:00,103,60.39
2024-01-07 06:00:00,102,55.16
2024-01-07 07:00:00,103,33.59
2024-01-07 08:00:00,104,61.43
2024-01-07 09:00:00,104,58.38
2024-01-07 10:00:00,104,58.08
2024-01-07 11:00:00,103,55.28
2024-01-07 12:00:00,104,43.38
2024-01-07 13:00:00,101,55.76
2024-01-07 14:00:00,101,46.79
2024-01-07 15:00:00,102,79.24
2024-01-07 16:00:00,104,48.06
2024-01-07 17:00:00,102,39.34
2024-01-07 18:00:00,101,47.03
2024-01-07 19:00:00,102,64.83
2024-01-07 20:00:00,104,44.73
2024-01-07 21:00:00,104,26.0
2024-01-07 22:00:00,102,65.12
2024-01-07 23:00:00,102,53.71
2024-01-08 00:00:00,101,45.47
2024-01-08 01:00:00,101,57.58
2024-01-08 02:00:00,104,41.21
2024-01-08 03:00:00,103,38.7
2024-01-08 04:00:00,102,59.96
2024-01-08 05:00:00,102,45.28
2024-01-08 06:00:00,103,55.74
2024-01-08 07:00:00,101,50.56
2024-01-08 08:00:00,103,58.77
2024-01-08 09:00:00,104,51.52
2024-01-08 10:00:00,101,29.94
2024-01-08 11:00:00,104,57.24
2024-01-08 12:00:00,103,45.69
2024-01-08 13:00:00,103,59.26
2024-01-08 14:00:00,102,51.56
2024-01-08 15:00:00,102,64.67
2024-01-08 16:00:00,102,47.28
2024-01-08 17:00:00,102,29.86
2024-01-08 18:00:00,104,47.22
2024-01-08 19:00:00,102,55.57
2024-01-08 20:00:00,104,47.0
2024-01-08 21:00:00,103,45.74
2024-01-08 22:00:00,101,65.16
2024-01-08 23:00:00,101,48.9
2024-01-09 00:00:00,102,60.95
2024-01-09 01:00:00,102,51.9
2024-01-09 02:00:00,103,35.95
2024-01-09 03:00:00,102,41.0
2024-01-09 04:00:00,102,47.27
2024-01-09 05:00:00,104,53.49
2024-01-09 06:00:00,104,42.3
2024-01-09 07:00:00,103,36.27
2024-01-09 08:00:00,101,40.25
2024-01-09 09:00:00,102,45.18
2024-01-09 10:00:00,103,41.55
2024-01-09 11:00:00,103,44.56
2024-01-09 12:00:00,103,69.02
2024-01-09 13:00:00,101,53.19
2024-01-09 14:00:00,103,42.22
2024-01-09 15:00:00,104,50.28
2024-01-09 16:00:00,101,66.17
2024-01-09 17:00:00,101,56.86
2024-01-09 18:00:00,104,49.37
2024-01-09 19:00:00,102,36.82
2024-01-09 20:00:00,101,33.38
2024-01-09 21:00:00,102,46.96
2024-01-09 22:00:00,101,49.3
2024-01-09 23:00:00,103,34.12
2024-01-10 00:00:00,104,36.98
2024-01-10 01:00:00,103,49.94
2024-01-10 02:00:00,103,28.18
2024-01-10 03:00:00,101,33.11
2024-01-10 04:00:00,104,49.83
2024-01-10 05:00:00,102,55.96
2024-01-10 06:00:00,104,53.54
2024-01-10 07:00:00,101,60.34
2024-01-10 08:00:00,103,66.13
2024-01-10 09:00:00,104,59.33
2024-01-10 10:00:00,101,47.7
2024-01-10 11:00:00,101,71.67
2024-01-10 12:00:00,101,67.22
2024-01-10 13:00:00,101,59.78
2024-01-10 14:00:00,102,42.27
2024-01-10 15:00:00,103,54.42
2024-01-10 16:00:00,101,29.47
2024-01-10 17:00:00,103,47.09
2024-01-10 18:00:00,101,25.52
2024-01-10 19:00:00,104,46.22
2024-01-10 20:00:00,104,60.69
2024-01-10 21:00:00,102,50.63
2024-01-10 22:00:00,102,66.61
2024-01-10 23:00:00,101,50.45
2024-01-11 00:00:00,102,51.48
2024-01-11 01:00:00,104,47.45
2024-01-11 02:00:00,103,55.81
2024-01-11 03:00:00,101,50.15
2024-01-11 04:00:00,101,62.52
2024-01-11 05:00:00,101,66.64
2024-01-11 06:00:00,102,54.25
2024-01-11 07:00:00,101,39.28
2024-01-11 08:00:00,104,56.13
2024-01-11 09:00:00,102,64.1
2024-01-11 10:00:00,102,57.06
2024-01-11 11:00:00,102,53.48
2024-01-11 12:00:00,103,59.97
2024-01-11 13:00:00,103,63.75
2024-01-11 14:00:00,101,24.44
2024-01-11 15:00:00,101,65.77
2024-01-11 16:00:00,104,58.32
2024-01-11 17:00:00,104,55.4
2024-01-11 18:00:00,101,45.02
2024-01-11 19:00:00,104,52.85
2024-01-11 20:00:00,103,56.66
2024-01-11 21:00:00,103,35.73
2024-01-11 22:00:00,101,58.08
2024-01-11 23:00:00,103,51.3
2024-01-12 00:00:00,104,65.28
2024-01-12 01:00:00,103,57.37
2024-01-12 02:00:00,103,48.84
2024-01-12 03:00:00,102,51.15
2024-01-12 04:00:00,104,57.02
2024-01-12 05:00:00,102,52.08
2024-01-12 06:00:00,102,56.08
2024-01-12 07:00:00,101,43.47
2024-01-12 08:00:00,104,38.11
2024-01-12 09:00:00,104,44.88
2024-01-12 10:00:00,102,36.3
2024-01-12 11:00:00,103,42.83
2024-01-12 12:00:00,101,54.15
2024-01-12 13:00:00,102,34.27
2024-01-12 14:00:00,104,38.3
2024-01-12 15:00:00,104,57.96
2024-01-12 16:00:00,101,45.3
2024-01-12 17:00:00,103,50.5
2024-01-12 18:00:00,104,38.23
2024-01-12 19:00:00,102,40.15
2024-01-12 20:00:00,104,47.57
